amar.org.ir code,province persian name,number of documents
615,کل کشور,523
616,آذربایجان شرقی,307
617,آذربایجان غربی,386
618,اردبیل,329
619,اصفهان,463
620,البرز,326
621,ایلام,563
622,بوشهر,386
623,تهران,486
624,چهار محال و بختیاری,349
625,خراسان جنوبی,173
626,خراسان رضوی,530
627,خراسان شمالی,252
628,خوزستان,309
629,زنجان,345
630,سمنان,461
631,سیستان و بلوچستان,421
632,فارس,345
633,قزوین,353
634,قم,325
635,کردستان,379
636,کرمان,215
637,کرمانشاه,388
638,کهگیلویه و بویر احمد,388
639,گلستان,373
640,گیلان,400
641,لرستان,411
642,مازندران,504
643,مرکزی,389
644,هرمزگان,273
645,همدان,320
646,یزد,552
