Province,Year,URL,Status
Whole Country,1352,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1352/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1348,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1348/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1356,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1356/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1346,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1346/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1354,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1354/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1349,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1349/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1355,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1355/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1350,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1350/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1345,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1345/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1353,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1353/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1347,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1347/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1357,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1357/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Whole Country,1358,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1358/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
